Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
1251	BUJE DE HORQUILLON 23MM TEFLON 	$1170.00	$2500.00	$0.00	7.00	0.000	- Sin Departamento -
1431	BUJE DE HORQUILLON 24MM TEFLON 	$1380.00	$2500.00	$0.00	4.00	0.000	- Sin Departamento -
464548	BUJE DE HORQUILLON NEW CRYPTON	$1820.00	$3000.00	$0.00	3.00	0.000	- Sin Departamento -
2155	BUJE DE HORQUILLON RX150 	$2330.00	$3800.00	$0.00	2.00	0.000	- Sin Departamento -
 SM002	BUJE DE HORQUILLON RX150 14X26X43	$1860.00	$3200.00	$0.00	3.00	0.000	- Sin Departamento -
1253	BUJE DE HORQUILLON SKUA 150	$2000.00	$4260.00	$0.00	1.00	0.000	- Sin Departamento -
 CKM0025	BUJE DE HORQUILLON SKUA 150 HIERRO 	$2210.00	$4200.00	$0.00	1.00	0.000	- Sin Departamento -
 SAM3164	BUJE DE HORQUILLON TITAN 150	$2480.00	$4000.00	$0.00	0.00	0.000	- Sin Departamento -
 CKM0457	BUJE DE HORQUILLON YBR125 23X14X44	$1790.00	$3000.00	$0.00	2.00	0.000	- Sin Departamento -
1502	BUJE DE MAZA CON TORNILLO Y TUERCA MAX5	$3300.00	$5500.00	$0.00	1.00	0.000	- Sin Departamento -
1290	BUJE PORTACORONA SMASH 	$2145.00	$3500.00	$0.00	5.00	0.000	- Sin Departamento -
1374	BUJE SEPARADOR DE RUEDA DELANTERA 110	$1260.00	$2500.00	$0.00	0.00	0.000	- Sin Departamento -
11	BUJIA C7HS 110 GX WAVE YBR 125 ROUSER 135 BETA 125	$800.00	$2000.00	$0.00	19.00	1	- Sin Departamento -
 HBU001	BUJIA C7HS CHOHO SMASH CRYPTON YBR 125 	$1460.00	$2350.00	$0.00	0.00	1	- Sin Departamento -
4629	BUJIA C7HS NGK BRASIL WAVE YBR ROUSER 135	$2830.00	$5000.00	$0.00	22.00	0.000	- Sin Departamento -
1629	BUJIA C7HSA 110 NSP/JAHF	$875.00	$2000.00	$0.00	58.00	0.000	- Sin Departamento -
1361	BUJIA C7HSA NSP 110	$900.00	$2000.00	$0.00	0.00	0.000	- Sin Departamento -
1795	BUJIA C7HSA WSTANDAR 	$3710.00	$6000.00	$0.00	3.00	0.000	- Sin Departamento -
 HBU003	BUJIA CPR8EA CHOHO TITAN 150 CG 150 ROUSER FZ	$1550.00	$3800.00	$0.00	9.00	1	- Sin Departamento -
12	BUJIA CPR8EA CKM	$1820.00	$3500.00	$0.00	14.00	3	- Sin Departamento -
1494	BUJIA CPR8EA NGK 	$3000.00	$6000.00	$0.00	11.00	0.000	- Sin Departamento -
 HBU002	BUJIA D8EA CHOHO CG125- RX - SKUA 150 DAKAR 200 	$1700.00	$3800.00	$0.00	5.00	0.000	- Sin Departamento -
